iter	Passed	Remaining
399	46262	69393
400	46374	69272
401	46493	69162
402	46612	69051
403	46721	68925
404	46826	68794
405	46936	68670
406	47051	68554
407	47172	68446
408	47274	68311
409	47377	68177
410	47496	68066
411	47608	67946
412	47719	67823
413	47870	67758
414	47992	67651
415	48116	67548
416	48232	67433
417	48355	67328
418	48472	67213
419	48580	67087
420	48715	66997
421	48823	66871
422	48944	66763
423	49069	66660
424	49185	66545
425	49284	66407
426	49395	66284
427	49510	66167
428	49635	66064
429	49754	65953
430	49869	65836
431	49983	65719
432	50102	65607
433	50210	65481
434	50317	65355
435	50435	65242
436	50549	65124
437	50678	65026
438	50800	64917
439	50927	64817
440	51044	64702
441	51167	64596
442	51289	64487
443	51398	64363
444	51503	64234
445	51614	64112
446	51719	63984
447	51821	63851
448	51938	63736
449	52048	63614
450	52177	63515
451	52297	63404
452	52408	63283
453	52541	63188
454	52653	63068
455	52786	62973
456	52886	62838
457	53000	62720
458	53106	62594
459	53224	62481
460	53319	62341
461	53424	62213
462	53535	62092
463	53651	61976
464	53773	61868
465	53879	61741
466	53980	61609
467	54097	61495
468	54236	61406
469	54340	61277
470	54443	61147
471	54549	61021
472	54667	60908
473	54787	60797
474	54895	60673
475	55007	60554
476	55125	60441
477	55241	60326
478	55357	60210
479	55473	60096
480	55582	59973
481	55699	59859
482	55809	59737
483	55915	59612
484	56017	59482
485	56120	59353
486	56242	59245
487	56349	59121
488	56459	58999
489	56566	58875
490	56681	58758
491	56806	58653
492	56915	58531
493	57009	58394
494	57139	58293
495	57255	58178
496	57368	58061
497	57474	57935
498	57590	57821
499	57709	57709
500	57840	57610
501	57955	57493
502	58062	57369
503	58188	57264
504	58322	57167
505	58438	57052
506	58556	56939
507	58677	56829
508	58809	56730
509	58922	56611
510	59023	56482
511	59137	56365
512	59261	56258
513	59370	56135
514	59488	56022
515	59602	55906
516	59720	55793
517	59840	55681
518	59942	55553
519	60039	55420
520	60153	55304
521	60281	55200
522	60400	55087
523	60494	54952
524	60603	54831
525	60729	54725
526	60855	54619
527	60957	54492
528	61070	54374
529	61179	54253
530	61278	54123
531	61382	53998
532	61488	53874
533	61606	53761
534	61717	53642
535	61832	53526
536	61957	53419
537	62062	53295
538	62182	53184
539	62302	53072
540	62407	52948
541	62520	52830
542	62626	52707
543	62739	52590
544	62849	52470
545	62975	52363
546	63099	52255
547	63223	52148
548	63347	52039
549	63460	51922
550	63578	51809
551	63688	51689
552	63807	51576
553	63937	51473
554	64039	51346
555	64163	51238
556	64270	51116
557	64403	51015
558	64520	50900
559	64630	50780
560	64736	50658
561	64851	50542
562	64958	50420
563	65074	50305
564	65183	50185
565	65295	50067
566	65422	49961
567	65520	49832
568	65639	49720
569	65743	49596
570	65854	49477
571	65999	49384
572	66117	49270
573	66225	49149
574	66342	49036
575	66453	48917
576	66550	48788
577	66671	48677
578	66788	48562
579	66904	48448
580	67029	48339
581	67146	48225
582	67249	48100
583	67357	47980
584	67474	47866
585	67572	47738
586	67681	47619
587	67783	47494
588	67905	47383
589	68044	47284
590	68168	47176
591	68295	47068
592	68418	46958
593	68547	46852
594	68675	46745
595	68778	46621
596	68891	46504
597	69025	46401
598	69140	46286
599	69252	46168
600	69356	46045
601	69486	45939
602	69604	45825
603	69705	45700
604	69813	45580
605	69938	45471
606	70063	45362
607	70164	45237
608	70277	45120
609	70402	45011
610	70529	44903
611	70653	44793
612	70755	44669
613	70870	44554
614	70984	44437
615	71110	44328
616	71221	44210
617	71333	44092
618	71454	43981
619	71570	43865
620	71683	43748
621	71784	43624
622	71905	43512
623	72023	43398
624	72142	43285
625	72248	43164
626	72360	43046
627	72479	42933
628	72596	42819
629	72710	42702
630	72824	42587
631	72922	42461
632	73028	42340
633	73160	42234
634	73279	42121
635	73395	42006
636	73526	41899
637	73639	41782
638	73761	41671
639	73860	41546
640	73975	41430
641	74101	41321
642	74217	41206
643	74328	41088
644	74443	40972
645	74568	40862
646	74675	40742
647	74790	40626
648	74909	40513
649	75023	40397
650	75144	40284
651	75250	40164
652	75370	40051
653	75495	39941
654	75594	39816
655	75708	39700
656	75820	39583
657	75930	39465
658	76036	39345
659	76172	39240
660	76286	39124
661	76413	39014
662	76521	38895
663	76668	38796
664	76767	38672
665	76883	38557
666	76984	38434
667	77101	38320
668	77237	38214
669	77351	38098
670	77458	37978
671	77572	37862
672	77682	37744
673	77794	37627
674	77897	37506
675	78018	37393
676	78126	37274
677	78262	37169
678	78375	37052
679	78492	36937
680	78629	36832
681	78735	36712
682	78858	36600
683	78974	36485
684	79088	36368
685	79215	36258
686	79337	36146
687	79459	36033
688	79569	35916
689	79691	35803
690	79813	35690
691	79926	35574
692	80030	35453
693	80141	35336
694	80266	35224
695	80371	35104
696	80491	34991
697	80607	34876
698	80722	34760
699	80827	34640
700	80939	34523
701	81049	34405
702	81149	34283
703	81280	34174
704	81395	34059
705	81519	33947
706	81610	33821
707	81736	33710
708	81866	33600
709	81975	33482
710	82095	33369
711	82208	33252
712	82334	33141
713	82451	33026
714	82573	32914
715	82708	32806
716	82824	32690
717	82925	32569
718	83046	32456
719	83159	32339
720	83281	32227
721	83396	32111
722	83506	31993
723	83622	31878
724	83740	31763
725	83853	31647
726	83966	31530
727	84089	31418
728	84207	31303
729	84349	31197
730	84462	31081
731	84572	30963
732	84695	30850
733	84810	30735
734	84920	30617
735	85026	30498
736	85142	30383
737	85242	30262
738	85368	30150
739	85472	30030
740	85591	29916
741	85709	29802
742	85824	29686
743	85936	29569
744	86056	29455
745	86178	29342
746	86294	29226
747	86415	29113
748	86522	28994
749	86631	28877
750	86770	28769
751	86878	28651
752	87000	28538
753	87120	28424
754	87240	28309
755	87369	28198
756	87479	28081
757	87580	27960
758	87693	27844
759	87809	27729
760	87912	27609
761	88034	27496
762	88142	27378
763	88254	27261
764	88385	27150
765	88502	27036
766	88618	26920
767	88719	26800
768	88835	26685
769	88933	26564
770	89047	26448
771	89160	26332
772	89276	26216
773	89397	26103
774	89521	25990
775	89630	25872
776	89748	25757
777	89875	25645
778	89984	25528
779	90106	25414
780	90228	25301
781	90339	25184
782	90470	25072
783	90591	24958
784	90707	24843
785	90829	24729
786	90938	24612
787	91052	24496
788	91160	24378
789	91277	24263
790	91397	24149
791	91533	24039
792	91642	23921
793	91754	23805
794	91855	23686
795	91972	23570
796	92088	23455
797	92214	23342
798	92327	23226
799	92570	23142
800	92686	23027
801	92800	22910
802	92913	22794
803	93056	22685
804	93168	22568
805	93276	22451
806	93402	22337
807	93506	22219
808	93628	22105
809	93753	21991
810	93862	21874
811	93981	21759
812	94106	21645
813	94226	21530
814	94337	21413
815	94449	21297
816	94561	21180
817	94688	21067
818	94796	20950
819	94902	20832
820	95018	20716
821	95137	20601
822	95246	20484
823	95365	20369
824	95469	20251
825	95562	20130
826	95688	20017
827	95798	19900
828	95912	19784
829	96023	19667
830	96147	19553
831	96262	19437
832	96367	19319
833	96470	19201
834	96580	19084
835	96700	18969
836	96793	18849
837	96911	18734
838	97033	18620
839	97154	18505
840	97258	18387
841	97385	18274
842	97492	18156
843	97610	18041
844	97738	17928
845	97852	17812
846	97967	17696
847	98089	17582
848	98197	17465
849	98315	17349
850	98439	17235
851	98541	17117
852	98659	17002
853	98783	16888
854	98895	16771
855	98998	16653
856	99116	16538
857	99238	16424
858	99350	16307
859	99452	16189
860	99559	16072
861	99681	15958
862	99805	15844
863	99914	15727
864	100031	15611
865	100137	15494
866	100252	15379
867	100372	15264
868	100496	15149
869	100602	15032
870	100713	14916
871	100845	14803
872	100965	14688
873	101079	14572
874	101226	14460
875	101334	14344
876	101443	14227
877	101549	14110
878	101651	13992
879	101779	13878
880	101905	13764
881	102019	13648
882	102134	13533
883	102270	13420
884	102400	13306
885	102521	13191
886	102631	13074
887	102742	12958
888	102878	12845
889	103001	12730
890	103119	12615
891	103233	12499
892	103368	12385
893	103473	12268
894	103586	12152
895	103701	12036
896	103800	11919
897	103933	11805
898	104036	11688
899	104155	11572
900	104267	11456
901	104393	11342
902	104513	11226
903	104624	11110
904	104747	10995
905	104868	10880
906	104973	10763
907	105080	10646
908	105189	10530
909	105308	10415
910	105408	10297
911	105525	10182
912	105629	10065
913	105738	9949
914	105850	9833
915	105985	9719
916	106109	9604
917	106227	9488
918	106348	9373
919	106459	9257
920	106561	9140
921	106667	9023
922	106790	8908
923	106900	8792
924	107024	8677
925	107139	8561
926	107261	8446
927	107375	8330
928	107480	8214
929	107597	8098
930	107709	7982
931	107825	7867
932	107940	7751
933	108057	7635
934	108178	7520
935	108302	7405
936	108419	7289
937	108520	7172
938	108622	7056
939	108730	6940
940	108843	6824
941	108941	6707
942	109078	6593
943	109189	6477
944	109308	6361
945	109419	6245
946	109524	6129
947	109633	6013
948	109731	5897
949	109843	5781
950	109972	5666
951	110132	5552
952	110234	5436
953	110343	5320
954	110489	5206
955	110586	5089
956	110702	4974
957	110796	4857
958	110903	4741
959	110999	4624
960	111114	4509
961	111229	4393
962	111321	4277
963	111419	4160
964	111544	4045
965	111661	3930
966	111766	3814
967	111863	3697
968	111982	3582
969	112116	3467
970	112231	3351
971	112349	3236
972	112448	3120
973	112550	3004
974	112672	2889
975	112777	2773
976	112890	2657
977	113000	2541
978	113139	2426
979	113248	2311
980	113360	2195
981	113489	2080
982	113595	1964
983	113706	1848
984	113830	1733
985	113948	1617
986	114065	1502
987	114203	1387
988	114295	1271
989	114411	1155
990	114524	1040
991	114643	924
992	114764	809
993	114882	693
994	114982	577
995	115109	462
996	115226	346
997	115341	231
998	115456	115
999	115573	0
